Year,Month,UF,Zonas,Production,Conf,Low,High,Tipo,Tipo Ajustado
2012,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2013,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2014,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2015,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2016,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2017,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,4,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,5,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,6,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,7,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,8,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,9,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,10,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,11,AC,AC,0,0,0,0,Calculada,Real / Calculada
2018,12,AC,AC,0,0,0,0,Calculada,Real / Calculada
2019,1,AC,AC,0,0,0,0,Calculada,Real / Calculada
2019,2,AC,AC,0,0,0,0,Calculada,Real / Calculada
2019,3,AC,AC,0,0,0,0,Calculada,Real / Calculada
2012,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2013,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2014,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2015,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2016,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2017,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,4,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,5,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,6,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,7,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,8,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,9,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,10,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,11,AL,AL,0,0,0,0,Calculada,Real / Calculada
2018,12,AL,AL,0,0,0,0,Calculada,Real / Calculada
2019,1,AL,AL,0,0,0,0,Calculada,Real / Calculada
2019,2,AL,AL,0,0,0,0,Calculada,Real / Calculada
2019,3,AL,AL,0,0,0,0,Calculada,Real / Calculada
2012,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2013,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2014,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2015,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2016,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2017,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,4,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,5,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,6,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,7,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,8,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,9,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,10,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,11,AM,AM,0,0,0,0,Calculada,Real / Calculada
2018,12,AM,AM,0,0,0,0,Calculada,Real / Calculada
2019,1,AM,AM,0,0,0,0,Calculada,Real / Calculada
2019,2,AM,AM,0,0,0,0,Calculada,Real / Calculada
2019,3,AM,AM,0,0,0,0,Calculada,Real / Calculada
2012,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2013,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2014,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2015,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2016,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2017,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,4,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,5,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,6,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,7,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,8,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,9,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,10,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,11,AP,AP,0,0,0,0,Calculada,Real / Calculada
2018,12,AP,AP,0,0,0,0,Calculada,Real / Calculada
2019,1,AP,AP,0,0,0,0,Calculada,Real / Calculada
2019,2,AP,AP,0,0,0,0,Calculada,Real / Calculada
2019,3,AP,AP,0,0,0,0,Calculada,Real / Calculada
2012,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2013,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2014,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2015,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2016,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2017,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,4,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,5,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,6,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,7,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,8,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,9,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,10,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,11,CE,CE,0,0,0,0,Calculada,Real / Calculada
2018,12,CE,CE,0,0,0,0,Calculada,Real / Calculada
2019,1,CE,CE,0,0,0,0,Calculada,Real / Calculada
2019,2,CE,CE,0,0,0,0,Calculada,Real / Calculada
2019,3,CE,CE,0,0,0,0,Calculada,Real / Calculada
2012,1,DF,DF,0,0,0,0,Calculada,Real / Calculada
