Date,Production,Exchange_Rate
1/1/2012,0.0,1.785035
2/1/2012,0.0,1.7168
3/1/2012,0.0,1.7953
4/1/2012,0.0,1.8522476190476191
5/1/2012,0.0,1.9810227272727277
6/1/2012,808.14531644,2.048195238095238
7/1/2012,4911.976444759998,2.029552380952381
8/1/2012,4458.0308387999985,2.0279434782608696
9/1/2012,0.0,2.026857894736842
10/1/2012,0.0,2.0297318181818182
11/1/2012,0.0,2.06622
12/1/2012,0.0,2.07746
1/1/2013,0.0,2.028109523809524
2/1/2013,0.0,1.9729315789473685
3/1/2013,0.0,1.9842142857142857
4/1/2013,0.0,2.001109090909091
5/1/2013,0.0,2.0364727272727277
6/1/2013,662.70968896,2.17336
7/1/2013,5293.288781439998,2.2518318181818184
8/1/2013,4529.914329599999,2.340790909090909
9/1/2013,0.0,2.264105
10/1/2013,0.0,2.1882227272727275
11/1/2013,0.0,2.295936842105263
12/1/2013,0.0,2.347095238095238
1/1/2014,0.0,2.3857809523809523
2/1/2014,0.0,2.3792
3/1/2014,0.0,2.3250523809523806
4/1/2014,0.0,2.2324727272727274
5/1/2014,0.0,2.219509523809524
6/1/2014,1729.7199372513082,2.236019047619048
7/1/2014,4334.193582442884,2.2242136363636362
8/1/2014,4182.476480305808,2.268519047619048
9/1/2014,0.0,2.3378809523809525
10/1/2014,0.0,2.449531818181818
11/1/2014,0.0,2.5527277777777777
12/1/2014,0.0,2.6418857142857144
1/1/2015,0.0,2.63462
2/1/2015,0.0,2.8169894736842105
3/1/2015,0.0,3.1413727272727274
4/1/2015,0.0,3.0420909090909087
5/1/2015,61.59911112000002,3.056205
6/1/2015,2144.5657869600004,3.1116909090909086
7/1/2015,2406.9489336,3.228809090909091
8/1/2015,5164.990441560003,3.515433333333333
9/1/2015,1401.4077267599987,3.903219047619048
10/1/2015,0.0,3.875238095238095
11/1/2015,0.0,3.785768421052632
12/1/2015,0.0,3.880836363636364
1/1/2016,0.0,4.05558947368421
2/1/2016,0.0,3.964385
3/1/2016,0.0,3.6980217391304344
4/1/2016,0.0,3.5634476190476194
5/1/2016,59.63823774702891,3.5403047619047614
6/1/2016,2811.858312193549,3.4234454545454542
7/1/2016,4536.945963525851,3.27814
8/1/2016,2913.989994301975,3.2085521739130436
9/1/2016,869.1127922315993,3.2531809523809523
10/1/2016,0.0,3.185395
11/1/2016,0.0,3.33689
12/1/2016,0.0,3.353966666666667
1/1/2017,0.0,3.190084210526316
2/1/2017,0.0,3.1057263157894734
3/1/2017,0.0,3.1275304347826087
4/1/2017,0.0,3.138995
5/1/2017,3.3032983224079597,3.2042772727272726
6/1/2017,612.1887323754374,3.2953954545454542
7/1/2017,5551.999681551538,3.19941
8/1/2017,5944.357076970236,3.147791304347826
9/1/2017,1033.292010780385,3.132515
10/1/2017,0.0,3.192266666666667
11/1/2017,0.0,3.26293
12/1/2017,0.0,3.29496
1/1/2018,0.0,3.211523809523809
2/1/2018,0.0,3.2506526315789475
3/1/2018,0.0,3.2789681818181817
4/1/2018,0.0,3.4088857142857143
5/1/2018,0.0,3.6316
6/1/2018,163.05793478751983,3.771047619047619
7/1/2018,1975.5423299893905,3.822095238095238
8/1/2018,5773.442770726538,3.9333217391304345
9/1/2018,1058.799964496553,4.108747368421053
10/1/2018,0.0,3.761113636363637
11/1/2018,0.0,3.78595
12/1/2018,0.0,3.883355555555556
1/1/2019,0.0,3.735565
2/1/2019,0.0,3.724433333333333
3/1/2019,0.0,3.73586320775015
4/1/2019,0.0,3.6957914372487797
5/1/2019,0.0,3.72510284512667
6/1/2019,0.0,3.74957636594419
7/1/2019,0.0,3.73523662312877
8/1/2019,0.0,3.77093790800061
9/1/2019,0.0,3.83131351086432
10/1/2019,0.0,3.8273876875422994
11/1/2019,0.0,3.85857162691347
12/1/2019,0.0,3.8943019394206804
